run_set,timestamp_dir,normalized_arm_guess,training_type,status_completed,base_model_tail,dataset_tail,dataset_train_examples,lora_rank,lora_alpha,lora_dropout,batch_size,grad_accum,effective_batch,learning_rate_config,warmup_ratio,lr_scheduler,beta,num_epochs,max_steps,final_step,total_steps_logged,log_rows,training_time_min,peak_reserved_pct,log_peak_reserved_pct,min_reserved_headroom_gb,peak_samples_per_sec,peak_steps_per_sec,final_loss,loss_first,loss_last,loss_min,loss_max,grad_norm_mean,grad_norm_max,lr_observed_max,lr_observed_last,dpo_reward_accuracy_mean,dpo_reward_accuracy_last,reward_margin_mean,reward_margin_last,grpo_reward_mean,grpo_reward_last,grpo_reward_std_mean,kl_mean,kl_last,kl_max,completion_length_mean,flags,eval_family,eval_balanced_behavior_score,eval_truthful_pct,eval_refusal_recall_pct,eval_answer_on_unknown_pct,eval_over_refusal_pct,eval_correct_on_known_pct,eval_mean_confidence,eval_brier_vs_response_appropriateness
clean_sft_dpo_grpo_seed1_full,20260624_193929,clean_sft_dpo_grpo,GRPO,1,schema_clean_sft_dpo_seed1_full/20260623_132930/Qwen3-4B-clean-sft-dpo/merged-16bit,scratch/schema_response_confidence/qwen3-4b-instruct-grpo/grpo_train.jsonl,14888,32,64,0.05,32,1,32,5e-06,0.0,linear,0.1,1,0,1861,1861,75,294.18,57.99,57.99,10.08,3.474,0.109,0.1629,0.0362,0.1629,0.0362,0.3114,16.915918,110.310745,0.000005,0,,,,,0.624225,0.703158,1.265707,1.760564,1.629256,3.113737,40.388108,grpo_kl_high_mean,Amendment F GRPO-centered stacking,55.4025,41.2,93.31,6.69,65.3,52.4,0.844615,0.428793
clean_sft_grpo_dpo_seed1_full,20260625_031724,clean_sft_grpo_dpo,DPO,1,schema_clean_sft_grpo_v2_seed1_full/20260624_095831/Qwen3-4B-clean-sft-grpo-v2/merged-16bit,scratch/schema_response_confidence/qwen3-4b-instruct/dpo_response_confidence_train.jsonl,14943,32,64,0.05,2,4,8,5e-06,0.15,cosine,0.1,1,-1,1868,1868,374,84.54,46.68,46.68,12.8,3.019,0.377,0.035525,0.6959,0,0,0.7085,0.723358,16.808929,0.000005,0,0.984584,1,11.388148,13.796768,,,,,,,,,Amendment F GRPO-centered stacking,55.77,41.64,93.31,6.69,63.63,51.76,0.866301,0.445413
clean_sft_grpo_kto_seed1_full,20260625_052610,clean_sft_grpo_kto,KTO,1,schema_clean_sft_grpo_v2_seed1_full/20260624_095831/Qwen3-4B-clean-sft-grpo-v2/merged-16bit,scratch/schema_response_confidence/qwen3-4b-instruct/kto_response_confidence_train.jsonl,29886,32,64,0.05,12,1,12,1e-06,0.15,cosine,0.1,1,-1,2491,2491,499,102.72,89.22,89.22,2.59,5.071,0.423,0.09316,0.4994,0.0029,0.0025,0.5006,0.536903,3.233053,0.000001,0,,,11.779487,16.267572,,,,0.026477,0,0.748762,,vram_high;low_vram_headroom;oom_risk_moderate,Amendment F GRPO-centered stacking,54.7825,40.9,89.63,10.37,60.59,49.19,0.864039,0.448626
clean_sft_kto_grpo_seed1_full,20260625_012319,clean_sft_kto_grpo,GRPO,1,schema_clean_sft_kto_seed1_full/20260623_200200/Qwen3-4B-clean-sft-kto/merged-16bit,scratch/schema_response_confidence/qwen3-4b-instruct-grpo/grpo_train.jsonl,14888,32,64,0.05,32,1,32,5e-06,0.0,linear,0.1,1,0,1861,1861,75,300.74,72.62,72.62,6.57,3.461,0.108,0.1162,0.0226,0.1162,0.0226,0.1716,10.326774,60.880177,0.000005,0,,,,,0.660763,0.816193,1.208991,1.259571,1.162418,1.715887,41.887568,grpo_kl_high_mean,Amendment F GRPO-centered stacking,55.1425,40.84,92.54,7.46,66.37,53.56,0.862188,0.447663
schema_clean_sft_dpo_seed1_full,20260623_132930,clean_sft_dpo,DPO,1,sft_schema_clean_seed1_full/20260623_123624/Qwen3-4B-bnb-4bit/merged-16bit,scratch/schema_response_confidence/qwen3-4b-instruct/dpo_response_confidence_train.jsonl,14943,32,64,0.05,2,4,8,5e-06,0.15,cosine,0.1,1,-1,1868,1868,374,101.86,46.68,46.68,12.8,2.448,0.306,0.040386,0.6911,0,0,0.6969,0.363076,6.366373,0.000005,0,0.987735,1,11.517789,14.029757,,,,,,,,,Amendment E clean response-confidence,54.4275,40.69,87.11,12.89,56.18,46.09,0.812083,0.407684
schema_clean_sft_grpo_seed1_full,20260623_233309,clean_sft_grpo_v1,GRPO,1,sft_schema_clean_seed1_full/20260623_123624/Qwen3-4B-bnb-4bit/merged-16bit,scratch/schema_response_confidence/qwen3-4b-instruct-grpo/grpo_train.jsonl,14888,32,64,0.05,32,1,32,5e-06,0.0,linear,0.1,1,0,1861,1861,75,374.03,72.49,72.49,6.6,2.656,0.083,0.1578,0.0074,0.1578,0.0074,0.216,7.293681,22.164684,0.000005,0,,,,,0.085543,0.223628,0.860065,1.763939,1.577549,2.160399,58.718919,grpo_kl_high_mean,Amendment E clean response-confidence,55.3325,39.69,95.54,4.46,75.7,61.8,0.746546,0.369721
schema_clean_sft_grpo_seed1_smoke,20260623_232511,schema_clean_sft_grpo_seed1_smoke,GRPO,1,sft_schema_clean_seed1_full/20260623_123624/Qwen3-4B-bnb-4bit/merged-16bit,scratch/schema_response_confidence/qwen3-4b-instruct-grpo/grpo_train.jsonl,14888,32,64,0.05,32,1,32,5e-06,0.0,linear,0.1,1,12,12,12,14,2.32,45.48,45.48,13.09,3.293,0.103,0.0042,-0,0.0042,-0,0.0047,3.041714,4.428826,0.000005,0,,,,,-0.036908,-0.263839,0.987288,0.019845,0.042486,0.047186,48.166667,,,,,,,,,,
schema_clean_sft_grpo_v2_seed1_full,20260624_095831,clean_sft_grpo_v2,GRPO,1,sft_schema_clean_seed1_full/20260623_123624/Qwen3-4B-bnb-4bit/merged-16bit,scratch/schema_response_confidence/qwen3-4b-instruct-grpo/grpo_train.jsonl,14888,32,64,0.05,32,1,32,5e-06,0.0,linear,0.1,1,0,1861,1861,75,433.06,73.41,73.41,6.38,2.749,0.086,0.1785,0.0033,0.1785,0.0033,0.2135,7.915338,27.015648,0.000005,0,,,,,0.484728,0.616814,1.347141,1.717221,1.78509,2.135184,70.919443,grpo_kl_high_mean,Amendment E clean response-confidence,55.43,41.08,93.41,6.59,66.62,53.85,0.813382,0.403378
schema_clean_sft_grpo_v2_seed1_smoke,20260624_094700,schema_clean_sft_grpo_v2_seed1_smoke,GRPO,1,sft_schema_clean_seed1_full/20260623_123624/Qwen3-4B-bnb-4bit/merged-16bit,scratch/schema_response_confidence/qwen3-4b-instruct-grpo/grpo_train.jsonl,14888,32,64,0.05,32,1,32,5e-06,0.0,linear,0.1,1,12,12,12,14,2.24,45.48,45.48,13.09,3.249,0.102,0.0008,0,0.0008,0,0.0009,2.803808,4.423383,0.000005,0,,,,,0.537545,-0.073269,1.272538,0.005942,0.008493,0.008732,46.666667,,,,,,,,,,
schema_clean_sft_kto_seed1_full,20260623_200200,clean_sft_kto,KTO,1,sft_schema_clean_seed1_full/20260623_123624/Qwen3-4B-bnb-4bit/merged-16bit,scratch/schema_response_confidence/qwen3-4b-instruct/kto_response_confidence_train.jsonl,29886,32,64,0.05,12,1,12,1e-06,0.15,cosine,0.1,1,-1,2491,2491,499,109.74,89.37,89.37,2.55,4.564,0.38,0.095004,0.5007,0.0035,0.0028,0.5011,0.597491,24.551994,0.000001,0,,,11.809314,16.345275,,,,0.070619,0,1.562478,,vram_high;low_vram_headroom;oom_risk_moderate,Amendment E clean response-confidence,53.0075,39.36,81.01,18.99,52.37,44.03,0.852712,0.451579
