arm,bucket,bucket_label,n,mean_stated_confidence,brier_vs_answer_reality,brier_vs_known_label,high_conf_pct,source_rows
SFT -> DPO,known_correct_answer,Known correct answer,1581,0.9591359898798367,0.006540168247944305,0.006540168247944305,98.798229,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> DPO,known_wrong_answer,Known wrong answer,4595,0.8981499455929963,0.8271464637649916,0.03084657257888953,90.750816,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> DPO,known_over_refusal,Known refusal,819,0.19536019536019536,0.19413919413919414,0.8034188034188035,19.291819,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> DPO,unknown_refusal,Unknown refusal,1173,0.15366581415174765,0.15284953111679453,0.15284953111679453,15.260017,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> DPO,unknown_answer,Unknown answer,1923,0.8775611024441079,0.799975299011949,0.799975299011949,85.595424,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> KTO,known_correct_answer,Known correct answer,1533,0.9540860984996872,0.011639142857150021,0.011639142857150021,96.086106,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> KTO,known_wrong_answer,Known wrong answer,3059,0.8691062432167256,0.797400130761685,0.059187644328211476,83.524027,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> KTO,known_over_refusal,Known refusal,2411,0.005060141020323516,0.0031211115719618414,0.9930008295313149,0.248859,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> KTO,unknown_refusal,Unknown refusal,2035,0.005945945945945946,0.005656019656019656,0.005656019656019656,0.540541,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> KTO,unknown_answer,Unknown answer,1061,0.8513553251649455,0.7674656946277124,0.7674656946277124,77.002828,local Phase 1 stated-confidence scored_rows.jsonl files
merged SFT,known_correct_answer,Known correct answer,1484,0.9606644117250874,0.002965373315372638,0.002965373315372638,99.595687,local Phase 1 stated-confidence scored_rows.jsonl files
merged SFT,known_wrong_answer,Known wrong answer,2149,0.9409706779897905,0.890781516053955,0.008840160074459334,97.487203,local Phase 1 stated-confidence scored_rows.jsonl files
merged SFT,known_over_refusal,Known refusal,3375,0.007051851851851851,0.004165925925925925,0.9900622222222221,0.177778,local Phase 1 stated-confidence scored_rows.jsonl files
merged SFT,unknown_refusal,Unknown refusal,2269,0.0022917584839136185,0.002000881445570736,0.002000881445570736,0.176289,local Phase 1 stated-confidence scored_rows.jsonl files
merged SFT,unknown_answer,Unknown answer,824,0.8978082512135982,0.830634713592235,0.830634713592235,88.592233,local Phase 1 stated-confidence scored_rows.jsonl files
