  L 0  known/unknown AUROC=0.4984
  L 1  known/unknown AUROC=0.9811
  L 2  known/unknown AUROC=0.9852
  L 3  known/unknown AUROC=0.9886
  L 4  known/unknown AUROC=0.9889
  L 5  known/unknown AUROC=0.9907
  L 6  known/unknown AUROC=0.9925
  L 7  known/unknown AUROC=0.9910
  L 8  known/unknown AUROC=0.9911
  L 9  known/unknown AUROC=0.9897
  L10  known/unknown AUROC=0.9898
  L11  known/unknown AUROC=0.9815
  L12  known/unknown AUROC=0.9813
  L13  known/unknown AUROC=0.9847
  L14  known/unknown AUROC=0.9881
  L15  known/unknown AUROC=0.9900
  L16  known/unknown AUROC=0.9902
  L17  known/unknown AUROC=0.9945
  L18  known/unknown AUROC=0.9929
  L19  known/unknown AUROC=0.9939
  L20  known/unknown AUROC=0.9945
  L21  known/unknown AUROC=0.9956
  L22  known/unknown AUROC=0.9960
  L23  known/unknown AUROC=0.9964
  L24  known/unknown AUROC=0.9968
  L25  known/unknown AUROC=0.9966
  L26  known/unknown AUROC=0.9962
  L27  known/unknown AUROC=0.9961
  L28  known/unknown AUROC=0.9964
  L29  known/unknown AUROC=0.9963
  L30  known/unknown AUROC=0.9964
  L31  known/unknown AUROC=0.9964
  L32  known/unknown AUROC=0.9965
  L33  known/unknown AUROC=0.9968
  L34  known/unknown AUROC=0.9966
  L35  known/unknown AUROC=0.9970
  L36  known/unknown AUROC=0.9964

BEST LAYER L35 AUROC=0.9970
OVER-REFUSAL GAP [LATENT-KNOWLEDGE: over-refusals (known_refused) look INTERNALLY KNOWN (position 0.27 ~ known_answered). The model represented the answer but refused anyway — over-abstention is a behavioral-threshold gap, not an internal 'I don't know' signal.]
