  L 0  known/unknown AUROC=0.4984
  L 1  known/unknown AUROC=0.9804
  L 2  known/unknown AUROC=0.9853
  L 3  known/unknown AUROC=0.9884
  L 4  known/unknown AUROC=0.9892
  L 5  known/unknown AUROC=0.9911
  L 6  known/unknown AUROC=0.9925
  L 7  known/unknown AUROC=0.9909
  L 8  known/unknown AUROC=0.9909
  L 9  known/unknown AUROC=0.9897
  L10  known/unknown AUROC=0.9892
  L11  known/unknown AUROC=0.9814
  L12  known/unknown AUROC=0.9811
  L13  known/unknown AUROC=0.9846
  L14  known/unknown AUROC=0.9877
  L15  known/unknown AUROC=0.9895
  L16  known/unknown AUROC=0.9900
  L17  known/unknown AUROC=0.9943
  L18  known/unknown AUROC=0.9927
  L19  known/unknown AUROC=0.9939
  L20  known/unknown AUROC=0.9943
  L21  known/unknown AUROC=0.9955
  L22  known/unknown AUROC=0.9958
  L23  known/unknown AUROC=0.9964
  L24  known/unknown AUROC=0.9968
  L25  known/unknown AUROC=0.9964
  L26  known/unknown AUROC=0.9962
  L27  known/unknown AUROC=0.9962
  L28  known/unknown AUROC=0.9963
  L29  known/unknown AUROC=0.9963
  L30  known/unknown AUROC=0.9961
  L31  known/unknown AUROC=0.9962
  L32  known/unknown AUROC=0.9965
  L33  known/unknown AUROC=0.9969
  L34  known/unknown AUROC=0.9967
  L35  known/unknown AUROC=0.9972
  L36  known/unknown AUROC=0.9963

BEST LAYER L35 AUROC=0.9972
OVER-REFUSAL GAP [LATENT-KNOWLEDGE: over-refusals (known_refused) look INTERNALLY KNOWN (position 0.28 ~ known_answered). The model represented the answer but refused anyway — over-abstention is a behavioral-threshold gap, not an internal 'I don't know' signal.]
