  L 0  known/unknown AUROC=0.4984
  L 1  known/unknown AUROC=0.9807
  L 2  known/unknown AUROC=0.9855
  L 3  known/unknown AUROC=0.9881
  L 4  known/unknown AUROC=0.9896
  L 5  known/unknown AUROC=0.9920
  L 6  known/unknown AUROC=0.9935
  L 7  known/unknown AUROC=0.9903
  L 8  known/unknown AUROC=0.9900
  L 9  known/unknown AUROC=0.9898
  L10  known/unknown AUROC=0.9879
  L11  known/unknown AUROC=0.9806
  L12  known/unknown AUROC=0.9812
  L13  known/unknown AUROC=0.9839
  L14  known/unknown AUROC=0.9856
  L15  known/unknown AUROC=0.9887
  L16  known/unknown AUROC=0.9897
  L17  known/unknown AUROC=0.9944
  L18  known/unknown AUROC=0.9922
  L19  known/unknown AUROC=0.9931
  L20  known/unknown AUROC=0.9928
  L21  known/unknown AUROC=0.9949
  L22  known/unknown AUROC=0.9945
  L23  known/unknown AUROC=0.9956
  L24  known/unknown AUROC=0.9956
  L25  known/unknown AUROC=0.9956
  L26  known/unknown AUROC=0.9960
  L27  known/unknown AUROC=0.9959
  L28  known/unknown AUROC=0.9962
  L29  known/unknown AUROC=0.9959
  L30  known/unknown AUROC=0.9957
  L31  known/unknown AUROC=0.9958
  L32  known/unknown AUROC=0.9957
  L33  known/unknown AUROC=0.9961
  L34  known/unknown AUROC=0.9960
  L35  known/unknown AUROC=0.9968
  L36  known/unknown AUROC=0.9961

BEST LAYER L35 AUROC=0.9968
OVER-REFUSAL GAP [LATENT-KNOWLEDGE: over-refusals (known_refused) look INTERNALLY KNOWN (position 0.25 ~ known_answered). The model represented the answer but refused anyway — over-abstention is a behavioral-threshold gap, not an internal 'I don't know' signal.]
