n_citing_sources,arxiv_id,year,s2_citation_count,title,cited_by
22,2203.02155,2022,21519,Training language models to follow instructions with human feedback,2310.06452;2310.11732;2310.13548;2311.08401;2311.13240;2312.07000;2401.13275;2402.01306;2403.05612;2403.18349;2404.14723;2405.01525;2405.05904;2410.09724;2505.13995;2506.09038;2509.04664;2509.07430;2510.17509;2511.11500;2604.16027;2606.06475
22,2009.03300,2020,8471,Measuring Massive Multitask Language Understanding,2310.11732;2310.13548;2311.08596;2311.08877;2311.09677;2311.13240;2312.07000;2401.12794;2402.01306;2403.05612;2404.14723;2405.01525;2406.08391;2407.12043;2410.09724;2505.20903;2506.09038;2506.18183;2510.17509;2511.11500;2604.17073;2606.08571
20,2305.18290,2023,9087,Direct Preference Optimization: Your Language Model is Secretly a Reward Model,2310.06452;2310.11732;2311.08401;2311.08596;2401.13275;2402.01306;2403.18349;2404.14723;2405.01525;2405.05904;2405.21028;2407.12043;2410.09724;2505.01997;2505.13995;2506.09038;2509.04664;2511.12991;2604.16027;2606.08543
16,1707.06347,2017,28217,Proximal Policy Optimization Algorithms,2310.06452;2310.11732;2401.13275;2402.01306;2403.05612;2403.18349;2404.14723;2405.01525;2410.09724;2505.01997;2506.09038;2509.07430;2511.11500;2604.17073;2606.06475;2606.08543
15,2110.14168,2021,9181,Training Verifiers to Solve Math Word Problems,2310.06452;2401.12794;2402.01306;2403.18349;2404.14723;2405.01525;2407.12043;2410.09724;2506.09038;2507.16806;2510.05126;2511.11500;2604.16027;2605.21127;2606.05145
14,1706.04599,2017,8291,On Calibration of Modern Neural Networks,2310.11732;2311.08877;2311.09677;2311.13240;2401.12794;2405.21028;2406.08391;2410.09724;2505.01997;2505.20903;2506.18183;2509.20088;2510.17509;2606.03969
14,2302.09664,2023,773,Semantic Uncertainty: Linguistic Invariances for Uncertainty Estimation in Natural Language Generation,2310.11732;2311.08401;2401.12794;2403.05612;2405.21028;2406.08391;2410.09724;2410.17234;2506.18183;2507.16806;2510.17509;2606.03969;2606.06475;2606.08571
13,2307.09288,2023,17198,Llama 2: Open Foundation and Fine-Tuned Chat Models,2310.06452;2310.13548;2311.08877;2312.07000;2401.12794;2403.05612;2403.18349;2404.14723;2405.01525;2406.08391;2407.12043;2410.09724;2505.01997
12,2204.05862,2022,4103,Training a Helpful and Harmless Assistant with Reinforcement Learning from Human Feedback,2310.06452;2310.13548;2311.13240;2312.07000;2401.13275;2402.01306;2403.18349;2405.01525;2407.12043;2410.09724;2505.13995;2511.12991
12,1705.03551,2017,3916,TriviaQA: A Large Scale Distantly Supervised Challenge Dataset for Reading Comprehension,2310.13548;2312.07000;2401.12794;2401.13275;2403.05612;2403.18349;2405.21028;2410.17234;2507.16806;2510.05126;2510.17509;2603.24967
11,2005.14165,2020,59123,Language Models are Few-Shot Learners,2310.06452;2310.11732;2311.09677;2311.13240;2312.07000;2401.13275;2404.14723;2405.01525;2407.12043;2510.17509;2604.17073
10,2103.03874,2021,5557,Measuring Mathematical Problem Solving With the MATH Dataset,2310.13548;2502.08177;2506.09038;2507.16806;2509.04664;2509.07430;2604.03147;2604.16027;2606.06475;2606.08543
9,2306.05685,2023,9061,Judging LLM-as-a-judge with MT-Bench and Chatbot Arena,2310.06452;2312.07000;2401.12794;2402.01306;2404.14723;2410.09724;2505.13995;2506.09038;2604.16027
9,1706.03741,2017,5353,Deep Reinforcement Learning from Human Preferences,2310.06452;2310.13548;2311.08401;2311.08596;2401.13275;2402.01306;2404.14723;2410.09724;2505.01997
8,2203.11171,2022,6874,Self-Consistency Improves Chain of Thought Reasoning in Language Models,2311.08596;2311.13240;2312.07000;2403.18349;2506.18183;2604.15574;2604.16027;2606.05145
8,2402.03300,2024,6867,DeepSeekMath: Pushing the Limits of Mathematical Reasoning in Open Language Models,2506.09038;2507.16806;2509.07430;2511.11500;2604.16027;2606.06475;2606.08543;2606.08571
8,2304.13734,2023,684,The Internal State of an LLM Knows When its Lying,2311.08401;2403.05612;2403.18349;2405.05904;2406.08391;2506.18183;2507.16806;2510.17509
7,2302.13971,2023,20279,LLaMA: Open and Efficient Foundation Language Models,2310.06452;2311.13240;2312.07000;2401.13275;2402.01306;2406.08391;2407.12043
7,2107.03374,2021,9996,Evaluating Large Language Models Trained on Code,2311.08401;2401.12794;2402.01306;2404.14723;2407.12043;2604.16027;2606.05145
7,2109.01652,2021,5097,Finetuned Language Models Are Zero-Shot Learners,2310.11732;2311.13240;2401.13275;2403.18349;2405.05904;2406.08391;2510.05126
7,,2019,4777,Natural Questions: A Benchmark for Question Answering Research,2312.07000;2401.13275;2410.17234;2506.09038;2510.17509;2511.11500;2511.12991
7,2212.10560,2022,3306,Self-Instruct: Aligning Language Models with Self-Generated Instructions,2310.06452;2310.11732;2311.13240;2312.07000;2401.13275;2405.01525;2407.12043
7,2009.01325,2020,3224,Learning to summarize from human feedback,2310.06452;2311.08401;2401.13275;2402.01306;2403.05612;2403.18349;2606.03962
7,2206.04615,2022,2496,Beyond the Imitation Game: Quantifying and extrapolating the capabilities of language models,2311.08596;2402.01306;2404.14723;2407.12043;2410.09724;2506.09038;2511.11500
6,2201.11903,2022,18981,Chain of Thought Prompting Elicits Reasoning in Large Language Models,2310.13548;2404.14723;2410.09724;2506.18183;2604.16027;2605.21127
6,2407.21783,2024,16002,The Llama 3 Herd of Models,2405.05904;2410.09724;2505.13995;2510.17509;2604.17073;2606.03969
6,2311.12022,2023,2772,GPQA: A Graduate-Level Google-Proof Q&A Benchmark,2506.09038;2506.18183;2507.16806;2509.04664;2511.11500;2606.05145
6,,2024,1309,Detecting hallucinations in large language models using semantic entropy,2410.17234;2502.19545;2509.04664;2510.05126;2511.11500;2606.06475
6,2303.08896,2023,994,SelfCheckGPT: Zero-Resource Black-Box Hallucination Detection for Generative Large Language Models,2401.13275;2403.05612;2506.18183;2510.17509;2511.11500;2606.03969
6,,,,OpenAI,2311.08596;2311.08877;2312.07000;2509.04664;2604.17073;2605.21127
5,2106.09685,2021,19793,LoRA: Low-Rank Adaptation of Large Language Models,2310.11732;2404.14723;2406.08391;2407.12043;2410.17234
5,2005.11401,2020,14656,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,2311.08401;2405.01525;2410.17234;2509.04664;2606.08571
5,2204.02311,2022,8073,PaLM: Scaling Language Modeling with Pathways,2310.06452;2311.08596;2311.13240;2404.14723;2505.01997
5,1803.05457,2018,4854,"Think you have Solved Question Answering? Try ARC, the AI2 Reasoning Challenge",2311.08596;2404.14723;2406.08391;2505.20903;2506.18183
5,1809.09600,2018,4627,"HotpotQA: A Dataset for Diverse, Explainable Multi-hop Question Answering",2311.09677;2505.20903;2507.16806;2510.17509;2511.12991
5,1809.02789,2018,2482,Can a Suit of Armor Conduct Electricity? A New Dataset for Open Book Question Answering,2310.11732;2311.08877;2404.14723;2406.08391;2505.20903
5,,2015,1884,Obtaining Well Calibrated Probabilities Using Bayesian Binning,2311.09677;2311.13240;2405.21028;2406.08391;2506.18183
5,2206.14858,2022,1772,Solving Quantitative Reasoning Problems with Language Models,2404.14723;2506.09038;2509.07430;2511.11500;2606.06475
5,2306.03341,2023,1198,Inference-Time Intervention: Eliciting Truthful Answers from a Language Model,2311.08401;2312.07000;2401.13275;2403.05612;2405.01525
5,2210.10760,2022,1050,Scaling Laws for Reward Model Overoptimization,2310.06452;2310.13548;2312.07000;2403.18349;2606.03962
5,2209.14375,2022,670,Improving alignment of dialogue agents via targeted human judgements,2310.06452;2310.13548;2312.07000;2403.18349;2511.12991
5,2012.00955,2020,578,How Can We Know When Language Models Know? On the Calibration of Language Models for Question Answering,2311.13240;2312.07000;2407.12043;2505.01997;2510.17509
5,2308.11462,2023,419,LegalBench: A Collaboratively Built Benchmark for Measuring Legal Reasoning in Large Language Models,2311.08596;2506.09038;2510.05126;2511.11500;2606.03969
5,2210.09150,2022,377,Prompting GPT-3 To Be Reliable,2311.08401;2403.05612;2405.01525;2510.17509;2606.03969
5,2012.14983,2020,253,Reducing Conversational Agents’ Overconfidence Through Linguistic Calibration,2405.21028;2407.12043;2506.18183;2507.16806;2509.04664
5,2405.20974,2024,107,SaySelf: Teaching LLMs to Express Confidence with Self-Reflective Rationales,2410.09724;2505.01997;2507.16806;2510.05126;2511.12991
5,,2023,54,R-Tuning: Teaching Large Language Models to Refuse Unknown Questions,2403.05612;2405.05904;2405.21028;2406.08391;2511.12991
5,,,,"If the contribution is primarily a new model architecture, the paper should describe the architecture clearly and fully",2312.07000;2403.05612;2405.01525;2405.21028;2406.08391
4,,2017,34839,Decoupled Weight Decay Regularization,2312.07000;2410.17234;2510.17509;2605.21127
4,1908.10084,2019,18223,Sentence-BERT: Sentence Embeddings using Siamese BERT-Networks,2310.06452;2406.08391;2505.13995;2604.16027
4,1610.02136,2016,4339,A Baseline for Detecting Misclassified and Out-of-Distribution Examples in Neural Networks,2311.08877;2311.13240;2403.05612;2410.09724
4,1905.07830,2019,4327,HellaSwag: Can a Machine Really Finish Your Sentence?,2310.11732;2401.12794;2404.14723;2406.08391
4,2303.12712,2023,4203,Sparks of Artificial General Intelligence: Early experiments with GPT-4,2311.08401;2403.05612;2404.14723;2505.01997
4,,2025,3777,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,2507.16806;2509.07430;2606.03969;2606.05145
4,2305.20050,2023,3516,Let's Verify Step by Step,2312.07000;2506.09038;2511.11500;2605.21127
4,1806.03822,2018,3322,Know What You Don’t Know: Unanswerable Questions for SQuAD,2407.12043;2506.09038;2511.11500;2604.17073
4,2212.08073,2022,3132,Constitutional AI: Harmlessness from AI Feedback,2311.08596;2312.07000;2405.01525;2509.04664
4,1811.00937,2019,2486,CommonsenseQA: A Question Answering Challenge Targeting Commonsense Knowledge,2311.08877;2406.08391;2410.09724;2507.16806
4,1905.10044,2019,2457,BoolQ: Exploring the Surprising Difficulty of Natural Yes/No Questions,2311.08596;2404.14723;2406.08391;2505.20903
4,2112.09332,2021,1865,WebGPT: Browser-assisted question-answering with human feedback,2310.06452;2310.13548;2312.07000;2509.04664
4,2305.11206,2023,1312,LIMA: Less Is More for Alignment,2311.09677;2312.07000;2405.01525;2405.05904
4,2112.00861,2021,1126,A General Language Assistant as a Laboratory for Alignment,2312.07000;2401.13275;2510.17509;2511.12991
4,2104.07567,2021,1083,Retrieval Augmentation Reduces Hallucination in Conversation,2401.13275;2403.05612;2410.17234;2509.04664
4,2310.12036,2023,1005,A General Theoretical Paradigm to Understand Learning from Human Preferences,2402.01306;2404.14723;2410.09724;2505.01997
4,2305.14233,2023,906,Enhancing Chat Language Models by Scaling High-quality Instructional Conversations,2310.11732;2312.07000;2403.18349;2404.14723
4,2305.14387,2023,884,AlpacaFarm: A Simulation Framework for Methods that Learn from Human Feedback,2310.06452;2404.14723;2405.01525;2505.13995
4,2411.15124,2024,717,TÜLU 3: Pushing Frontiers in Open Language Model Post-Training,2505.01997;2511.11500;2604.16027;2606.08571
4,2212.03827,2022,715,Discovering Latent Knowledge in Language Models Without Supervision,2312.07000;2401.13275;2405.05904;2406.08391
