arm,bucket,bucket_label,n,mean_stated_confidence,brier_vs_answer_reality,brier_vs_known_label,high_conf_pct,source_rows
SFT -> DPO,known_correct_answer,Known correct answer,3169,0.9666588829283369,0.005602242978857712,0.005602242978857712,98.895551,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> DPO,known_wrong_answer,Known wrong answer,9295,0.9073780527164697,0.8443610759548704,0.02960497052178486,91.436256,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> DPO,known_over_refusal,Known refusal,1542,0.14429312581063553,0.14283398184176394,0.8542477302204928,14.137484,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> DPO,unknown_refusal,Unknown refusal,2385,0.130251572327044,0.1255146750524109,0.1255146750524109,12.1174,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> DPO,unknown_answer,Unknown answer,3807,0.8781350144470478,0.8019399527186897,0.8019399527186897,85.185185,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> KTO,known_correct_answer,Known correct answer,3047,0.9612720662946949,0.010208343944868569,0.010208343944868569,96.586807,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> KTO,known_wrong_answer,Known wrong answer,6319,0.862001898718103,0.7983790023738303,0.0743752049374893,83.082766,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> KTO,known_over_refusal,Known refusal,4647,0.008801377232623198,0.005007531740908108,0.9874047772756608,0.258231,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> KTO,unknown_refusal,Unknown refusal,4023,0.006228077305493412,0.005567646372862291,0.005567646372862291,0.497141,local Phase 1 stated-confidence scored_rows.jsonl files
SFT -> KTO,unknown_answer,Unknown answer,2169,0.837057630244363,0.7529138367911368,0.7529138367911368,75.05763,local Phase 1 stated-confidence scored_rows.jsonl files
merged SFT,known_correct_answer,Known correct answer,2994,0.9600808239812701,0.0035196519706121687,0.0035196519706121687,99.665999,local Phase 1 stated-confidence scored_rows.jsonl files
merged SFT,known_wrong_answer,Known wrong answer,4425,0.92970078802258,0.8720249916384315,0.01262341559322285,97.220339,local Phase 1 stated-confidence scored_rows.jsonl files
merged SFT,known_over_refusal,Known refusal,6598,0.01209457411336769,0.006474689299787814,0.9822855410730524,0.136405,local Phase 1 stated-confidence scored_rows.jsonl files
merged SFT,unknown_refusal,Unknown refusal,4540,0.0033700440528634354,0.0023986784140969156,0.0023986784140969156,0.154185,local Phase 1 stated-confidence scored_rows.jsonl files
merged SFT,unknown_answer,Unknown answer,1649,0.8869090351728441,0.8113328107944082,0.8113328107944082,87.992723,local Phase 1 stated-confidence scored_rows.jsonl files
